GENE,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8
ELP2,0.0034180526933015203,4.8968061114548325e-11,0.0,0.0,6.807211900231552e-15,7.185541238289464e-08,2.5474003798380673e-06,0.9965793280019312
RBM28,8.966267084486927e-55,0.958244222815802,0.0,0.0,0.00037901710724377836,0.04137676007695401,1.1347759860171169e-23,0.0
STRADA,0.000178776931964786,4.043002074287419e-13,0.0,0.0,5.516664457973641e-17,7.516328777400814e-10,2.9739656113996437e-08,0.9998211925763424
FAM214B,0.9996175588820284,7.797326132794492e-09,0.0,0.0,7.208170053091605e-13,2.5314790423933335e-05,0.0003571185290185255,4.820286654801203e-13
THAP4,0.0002623761659543557,1.1605492506339678e-12,0.0,0.0,1.828394419162091e-16,1.942736930742998e-09,6.188669761240448e-08,0.9997375600034507
ESYT1,4.840359759336e-05,1.6717789056269425e-13,0.0,0.0,2.322771945104079e-17,3.46677571985219e-10,6.906901147392018e-09,0.9999515891486599
NUCKS1,0.9974907903015611,5.295261102529794e-08,0.0,0.0,5.046699834018978e-12,0.00016404477487702218,0.0023451119659015952,2.59563197905851e-15
ABCC10,0.001118910499279157,9.165982711511507e-12,0.0,0.0,1.6500056383999623e-15,1.2266317825340614e-08,6.759802502662628e-07,0.9988804012449843
NCK1,5.0050019070987374e-05,7.071508641089986e-14,0.0,0.0,9.128330136370596e-18,1.667756935588266e-10,5.383686335991424e-09,0.9999499444303961
USP40,7.92572498291021e-05,1.4430394635591767e-13,0.0,0.0,1.912064612062144e-17,2.671582253952821e-10,8.635077500791057e-09,0.9999207338477915
POLR2B,0.0005906547789521401,4.856182281666132e-12,0.0,0.0,5.953404160408212e-16,8.181000619584921e-09,2.7205604318549117e-07,0.999409064979147
PPP4C,0.00010878147772968265,2.1905144423571379e-13,0.0,0.0,2.8902414448652493e-17,5.212056239763805e-10,1.1643509733242992e-08,0.9998912063573354
