GENE,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7
NKX3-1,7.922964678826944e-05,1.2774236385938338e-42,0.0,0.0,0.0,0.9999207703510796,2.131290444169855e-12
MEIS3,0.01596445820479761,1.9155401066587574e-09,0.0,0.0,0.0,0.9840355396455378,2.341230562120507e-10
PRMT8,0.006347069038653547,0.9726756222301278,0.0,0.0,0.0,0.01992565564327988,0.0010516530879377255
SOX21,0.0416685434517038,0.9579567429414766,0.0,0.0,0.0,0.0003745506335864388,1.6297323461616585e-07
EVX1,1.7045753504921294e-64,1.1392603638428819e-231,0.0,0.0,1.0,3.895160718663851e-70,1.0815426927489512e-105
WNT7A,0.18799092204275153,0.02100069523860936,0.0,0.0,0.0,0.7910070675401303,1.3151785096067257e-06
GRIN2C,0.10704012348257405,0.00993383179074149,0.0,0.0,0.0,0.8826969495294911,0.0003290951971943527
FRMD4A,1.727349799790622e-05,0.9979162674391248,0.0,0.0,0.0,0.0020627551272890303,3.7039355879337922e-06
FZD10,0.9795378757099559,0.006485666941903891,0.0,0.0,0.0,0.007849608874879425,0.006126848473260666
ACTR5,0.00035713665512609777,7.41681539929555e-12,0.0,0.0,0.0,0.9991028681283778,0.0005399952090782492
SSTR4,0.02894082705134994,0.13327908153713866,0.0,0.0,0.0,0.4933146643877356,0.3444654270237763
SERTAD4,0.0009473117449510088,0.9979295996807179,0.0,0.0,0.0,1.225847855791481e-07,0.001122965989544049
ZFHX4,0.7105302481302908,0.2623567776110273,0.0,0.0,0.0,0.01021516345267878,0.016897810806002778
ANKRD1,0.004109901180908509,0.9529719118291738,0.0,0.0,0.0,0.008134659550117088,0.03478352743980177
ADRA2C,1.7616430878679357e-13,4.11185691053694e-46,0.0,0.0,0.0,0.9964214959837335,0.0035785040160889116
VPREB1,0.9764481853507009,0.00025728772142964994,0.0,0.0,0.0,3.474594802393626e-05,0.02325978097984437
NTSR1,9.145956705930474e-07,4.566786628734628e-20,0.0,0.0,0.0,0.9994990770409676,0.0005000083633603457
TNNI3,0.0003086999485160533,4.8627553400654776e-05,0.0,0.0,0.0,0.9996405287182764,2.143779807743603e-06
ESX1,0.00012691071020349054,1.5262704604121846e-18,0.0,0.0,0.0,9.696046544805118e-07,0.9998721196851404
CYP26B1,0.010367217563742119,0.0021258552486177825,0.0,0.0,0.0,0.9875066986343783,2.2855326076817385e-07
NPTX1,0.9939369761695555,9.966805791176651e-05,0.0,0.0,0.0,0.005963351917622072,3.854909161383814e-09
COMMD3,0.0006771359750442583,0.9931603753487873,0.0,0.0,0.0,0.0057224500187565835,0.00044003865741057803
KCNA2,0.028166881440538798,0.004149991252519378,0.0,0.0,0.0,0.1572551747293279,0.8104279525776144
VGLL2,0.06857099964726458,0.9308104887330348,0.0,0.0,0.0,0.0006184709152225063,4.0704477806943693e-08
FGF8,0.0005033469417013303,0.06805544157202967,0.0,0.0,0.0,0.931380130956105,6.1080530164922e-05
PTF1A,0.9999247743615841,7.515854301550725e-05,0.0,0.0,0.0,6.709539990721748e-08,2.379190107325903e-20
GPX8,0.00022482478048963453,0.9221470051602465,0.0,0.0,0.0,2.0737722435382544e-06,0.07762609628702141
C1QB,5.816838376323609e-06,2.389765470640909e-08,0.0,0.0,0.0,0.950557959765737,0.04943619949823162
CD6,0.00041769399812739396,0.01989641870064811,0.0,0.0,0.0,0.9752581384655497,0.004427748835674842
STC2,0.00020668622358500436,0.9997825995712354,0.0,0.0,0.0,8.717442187745031e-06,1.9967629907574485e-06
LINGO1,3.0224439915132126e-15,6.581850858568596e-53,0.0,0.0,0.0,0.9999998037256482,1.9627434760445403e-07
SOX14,0.1500386304176158,0.8469257928720318,0.0,0.0,0.0,0.0030353512754129506,2.2543494052085165e-07
TNFRSF12A,6.026737190538509e-07,0.9934237467566525,0.0,0.0,0.0,0.006575493894380904,1.5667524604501166e-07
CABP7,0.0005075971800389207,0.03054993994765236,0.0,0.0,0.0,0.9689129007327723,2.9562139535715945e-05
SKOR1,0.980219402432009,0.010212744992149083,0.0,0.0,0.0,0.009567852381317967,1.9452239435940604e-10
HOXC9,2.7127424165845537e-213,0.0,1.0,0.0,0.0,0.0,0.0
SATB2,0.9729081896608084,0.027085975122907415,0.0,0.0,0.0,2.2904314154751976e-06,3.5447848691302605e-06
RFX4,0.8660545385828997,0.004868723487493915,0.0,0.0,0.0,0.08426620507226439,0.04481053285734072
SMARCD3,0.0009449702197224154,0.09227869556789477,0.0,0.0,0.0,0.9043194593771592,0.0024568748352233657
UNC5A,0.006505987506897777,1.0483562099610279e-07,0.0,0.0,0.0,0.9934897083256373,4.199331844965561e-06
CACNA1G,0.00524390490392449,0.038668233663486276,0.0,0.0,0.0,0.9560495791488578,3.8282283729701284e-05
LHX9,0.9938073872551837,0.006190548255665624,0.0,0.0,0.0,2.064489151196764e-06,2.1681619628517182e-16
SYT2,0.008034407448327367,0.00019211770240231982,0.0,0.0,0.0,0.991453636829398,0.0003198380198736338
TJP1,0.00021344554828449242,0.9836170103182335,0.0,0.0,0.0,0.016119576051255257,4.9968082227948314e-05
C1QL1,0.0015134649658184404,0.8904070285069793,0.0,0.0,0.0,0.10804984971046493,2.965681673885288e-05
HOXD12,1.1540510750552025e-179,0.0,0.0,1.0,0.0,1.5981514078965085e-305,0.0
HOXC6,9.630919287752284e-212,0.0,1.0,0.0,0.0,0.0,0.0
SCUBE1,2.4820862220256506e-05,5.860231121614664e-06,0.0,0.0,0.0,0.9998448563028034,0.00012446260385595118
BARHL2,0.9999983782114127,1.621788580687085e-06,0.0,0.0,0.0,4.9762606043937154e-15,4.498974707764357e-34
MKX,0.01064277861674736,0.9889582069859641,0.0,0.0,0.0,4.2739218043967056e-05,0.00035627517924518394
MTHFSD,0.016347067751079483,0.0009719862770289357,0.0,0.0,0.0,0.9819643198266034,0.0007166261452895186
STK3,1.0135384736230854e-05,0.9989495685010856,0.0,0.0,0.0,0.0010394550180464624,8.410961326626314e-07
BLK,3.733180261116489e-05,0.9943547754751265,0.0,0.0,0.0,0.005602549058266441,5.343663996964069e-06
CDK5R2,0.8309303245700651,0.010995558556479613,0.0,0.0,0.0,0.11206727596884274,0.04600684090461269
WNT3A,0.4227937326399886,0.06634010777940343,0.0,0.0,0.0,0.510839317238307,2.6842342299585084e-05
FOXB2,0.37354726163231433,0.6259121967333443,0.0,0.0,0.0,0.0005405415881646449,4.617792196992483e-11
PEAR1,9.497977339277798e-06,1.059306382848049e-15,0.0,0.0,0.0,0.9999905019585548,6.410504159690684e-11
PRSS56,3.711180719166763e-05,5.127002772796293e-15,0.0,0.0,0.0,0.9855286311453142,0.014434257047487785
ZMYND15,0.00041192617276461627,0.5358977889061536,0.0,0.0,0.0,0.453855719263576,0.009834565657504856
OAF,0.08402987817031579,0.0001927851855488081,0.0,0.0,0.0,0.0018261239047550207,0.9139512127393805
TFAP2D,0.9991158517127758,0.0008653197727348344,0.0,0.0,0.0,1.8806510715933383e-05,2.200377381614282e-08
SYNDIG1L,0.004383546344298378,0.00023976237933063033,0.0,0.0,0.0,0.8829135836218555,0.11246310765451596
KRT77,8.086627060108443e-06,9.782869688169392e-20,0.0,0.0,0.0,0.05845105290964536,0.9415408604632942
KIF26A,3.0714659533152685e-05,1.2432991487583446e-18,0.0,0.0,0.0,0.9706629161670247,0.02930636917344266
HOXD10,8.54294677282134e-193,0.0,0.0,1.0,0.0,1.5e-323,0.0
