GENE,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8
MAMLD1,0.0,1.2631188369283085e-09,1.7725073843671744e-91,1.4520932822261762e-53,0.0024810614756179167,0.9975189372612644,0.0,0.0
EPHA7,0.0,0.9486211416309287,5.8815184051924e-97,1.629814205817555e-36,0.00022758192960908036,0.05115127643946195,0.0,0.0
GPC4,0.0,4.4162810660439673e-60,2.138342558208084e-100,2.310495672279165e-165,0.005513272894564572,0.994486727105436,0.0,0.0
NKX1-2,0.0,2.847261848935052e-05,1.9958936060070902e-75,1.8558518621741896e-118,0.08526010926091082,0.9147114181205993,0.0,0.0
RALGPS1,0.0,0.9870972461827345,2.4309594895247962e-92,5.125002889489333e-06,1.1161561232578075e-05,0.012886467253143467,0.0,1.8256743662271367e-151
SFMBT2,0.0,0.8091135478859629,2.3291903009380772e-87,3.351652252982476e-29,0.00130314678289955,0.18958330533113735,0.0,0.0
PRG2,0.0,1.3732400760842777e-05,8.445102306006034e-73,1.6085199023431198e-32,0.026173615423395292,0.9738126521758449,0.0,0.0
TRIL,0.0,0.9280826192732897,1.7835592547404637e-80,1.7356419558372431e-29,0.0007628672470687402,0.07115451347964309,0.0,0.0
MXRA8,0.0,0.990676189200513,5.637387234709345e-109,2.4310005822802806e-09,7.740719379770494e-06,0.009316067649105947,0.0,1.5444571293651151e-168
CD276,0.0,0.9993580475863826,1.2273021241856907e-94,2.8385204785081847e-16,0.0002741972236348779,0.00036775518998135985,0.0,5e-324
PHC2,1.3673452983831341e-93,0.014896448084489778,3.894225665304302e-106,0.9823331685161318,3.297395081631878e-08,1.557583997288012e-05,0.0,0.0027547745854552504
RIPPLY3,0.0,0.9952928302080198,3.345903561284368e-95,1.9999569477512736e-14,2.596858613091606e-06,0.0047045729333477825,0.0,5.414285418280264e-235
CCNA1,0.0,0.5016759767013586,7.37528774249534e-80,8.656549937360598e-42,0.0005482231170608878,0.4977758001815791,0.0,0.0
DENND2A,0.0,0.9983851676890991,1.4634875747757033e-100,4.665557650022532e-10,4.472244781606746e-06,0.0016103595995638025,0.0,4.250834593619089e-221
AVPR2,0.0,1.7158107304439715e-80,2.621378303967414e-85,1.4015408179987692e-210,9.549964811689834e-05,0.9999045003518828,0.0,0.0
PDZRN4,0.0,0.9872756920523981,2.7047598580928412e-93,2.852981206617191e-17,9.114504456674557e-06,0.012715193443144309,0.0,4.173721978462776e-258
IGFBP3,0.0,0.9511058727977335,1.0717078731449007e-97,5.952810767742605e-31,8.64577369715926e-05,0.048807669465295536,0.0,0.0
